text,class
"b'-dips! Saran kado ulangtahun buat cewek dong? \xf0\x9f\xa5\xb2 ku bingung karna belum terlalu kenal banget dia, nanya temen bikin buket makeup yg basic aja'",kecantikan
"b'ADA KABAR GEMBIRA BUAT NEOTIZEN YANG SUKA INVESTASI EMAS!\n\nSekarang kamu bisa top saldo Lakuemas di neobank! Setelah berhasil top up pakai Pembayaran VA Bank Neo, kamu bisa dapat cashback hingga Rp200 ribu &amp; kupon diskon Lakuemas 50%! Jadi lebih hemat &amp; bisa buatmu makin cuan! \xf0\x9f\x98\xbd https://t.co/ofa1UFfoB0'",investasi
"b'5 Tempat Ngabuburit di Jaksel, Ada Kampung Wisata sampai Taman Piknik https://t.co/W9lJidyiai'",wisata
"b'Wisata Alam - Gunung Papandayan di Garut, jabar https://t.co/dGxkWkaFZi'",wisata
"b'SchApp! Hai aku mau tanya, ada ga beasiswa kuliah full? Kalo ada dapatnya gimana ya?\n\n\xe2\x9c\x84\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\n\xf0\x9f\xa7\x90 Trivia: penumpukan asam laktat dalam tubuh terjadi ketika otot kita kekurangan oksigen, yang menyebabkan rasa pegal.'",beasiswa
b'investasi tuh di PAHALA bukan CRYPTO',investasi
"b'Rian suruh belajar servis lagi deh, eror mulu...servis hal dasar dalam permainan bulutangkis padahal'",bulutangkis
"b'KENAROK SALATIGA KONSER HIBUR TNI / POLRI... GOYANG SEMUA LURR...  "" MAU... https://t.co/XV9KP0vqyh lewat @YouTube. @frans_indonesia  @YouTube @LiveNation @AppleMusic @BN_Music @ECHO_Musikpreis @konsermusikindo'",konser
"b'Sobat Pajak sekarang bisa melakukan pembayaran pajak PBB-P2 di aplikasi Mobile BCA dan OVO lho!\nIni merupakan salah satu cara agar wajib pajak membayar pajak dengan mudah dan cepat, dan bisa membayar pajak dimanapun dan kapanpun.\n\nJangan lupa bayar pajak tepat waktu ya Sobat! https://t.co/y6KOXvESJb'",pajak
"b""Tandanya orang munafik itu banyak. Dan diantaranya adalah tdk suka pada hukum syariat Allah SWT (QS 4:61). Suka pada syari'at Allah SWT itu tidak harus jadi pemimpin. Suka pada syari'at Allah SWT itu rela hidup tanpa berpangkat disistem thogut konstitusi ideologi demokrasi pncsl.""",demokrasi
